country,date,duration,genres,imdb,name
United States of America,"
                , 2022-07-20
            ","
                , 131
                min
            ","Science Fiction,Horror,Mystery,Thriller",IMDB: 7.1,Nope
United States of America,"
                , 2022-08-26
            ","
                , 99
                min
            ","Science Fiction,Drama,Action,Fantasy",IMDB: 5.9,Samaritan
United States of America,"
                , 2022-05-24
            ","
                , 131
                min
            ","War,Action,Drama",IMDB: 8.5,Top Gun: Maverick
United States of America,"
                , 2022-08-26
            ","
                , 101
                min
            ",Comedy,IMDB: 5,Me Time
United States of America,"
                , 2022-07-27
            ","
                , 106
                min
            ","Animation,Action,Family,Science Fiction,Comedy",IMDB: 7.6,DC League of Super-Pets
Denmark,"
                , 2022-08-26
            ","
                , 105
                min
            ","Crime,Thriller,Drama",IMDB: 6.4,Loving Adults
United States of America,"
                , 2022-06-01
            ","
                , 147
                min
            ","Adventure,Action,Science Fiction,Thriller",IMDB: 5.7,Jurassic World Dominion
South Korea,"
                , 2022-08-26
            ","
                , 140
                min
            ","Crime,Action",IMDB: 5.5,Seoul Vibe
"United States of America,France,Japan","
                , 2022-06-16
            ","
                , 87
                min
            ","Family,Adventure,Animation,Comedy,Action",IMDB: 6.6,Minions: The Rise of Gru
United States of America,"
                , 2021-12-15
            ","
                , 148
                min
            ","Action,Science Fiction,Adventure,Fantasy",IMDB: 8.3,Spider-Man: No Way Home
United States of America,"
                , 2022-08-05
            ","
                , 120
                min
            ","Science Fiction,Action,Horror",IMDB: 7.2,Prey
United States of America,"
                , 2022-07-07
            ","
                , 150
                min
            ","Action,Comedy,Science Fiction,Adventure,Fantasy",IMDB: 6.7,Thor: Love and Thunder
United States of America,"
                , 1986-05-16
            ","
                , 110
                min
            ","Action,Romance,Drama",IMDB: 6.9,Top Gun
United States of America,"
                , 2022-06-15
            ","
                , 105
                min
            ","Adventure,Animation,Action,Science Fiction,Family",IMDB: 5.9,Lightyear
"Canada,United States of America","
                , 2022-07-27
            ","
                , 99
                min
            ","Horror,Thriller",IMDB: 6,Orphan: First Kill
United States of America,"
                , 2022-08-12
            ","
                , 113
                min
            ","Fantasy,Action,Horror",IMDB: 6.1,Day Shift
United States of America,"
                , 2022-05-04
            ","
                , 180
                min
            ","Horror,Adventure,Action,Science Fiction,Thriller,Fantasy",IMDB: 7,Doctor Strange in the Multiverse of Madness
Poland,"
                , 2022-08-10
            ","
                , 112
                min
            ","Romance,Drama",IMDB: 2.7,The Next 365 Days
"United States of America,Australia","
                , 2022-06-22
            ","
                , 159
                min
            ","Music,Drama,History",IMDB: 7.6,Elvis
United States of America,"
                , 2022-08-11
            ","
                , 93
                min
            ","Horror,Thriller",IMDB: 5.9,Beast
Japan,"
                , 2022-06-11
            ","
                , 99
                min
            ","Animation,Science Fiction,Action",IMDB: 7.3,Dragon Ball Super: Super Hero
United Kingdom,"
                , 2022-07-15
            ","
                , 95
                min
            ","Family,Drama,Adventure",IMDB: 5.5,The Railway Children Return
Italy,"
                , 2022-03-23
            ","
                , 90
                min
            ","Comedy,Action",IMDB: 2.7,"Watch Out, We're Mad"
"Japan,United States of America","
                , 2022-07-03
            ","
                , 127
                min
            ","Action,Crime,Comedy",IMDB: 7.5,Bullet Train
United States of America,"
                , 2022-08-21
            ","
                , 60
                min
            ","Sci-Fi & Fantasy,Drama,Action & Adventure",IMDB: 8.9,House of the Dragon
United States of America,"
                , 2022-08-18
            ","
                , 45
                min
            ","Action & Adventure,Sci-Fi & Fantasy,Comedy",IMDB: 5.1,She-Hulk: Attorney at Law
United States of America,"
                , 2022-08-30
            ","
                , 22
                min
            ","Drama,Crime",IMDB: N/A,The Patient
United States of America,"
                , 2011-04-17
            ","
                , 60
                min
            ","Sci-Fi & Fantasy,Drama,Action & Adventure",IMDB: 9.2,Game of Thrones
Japan,"
                , 1999-10-20
            ","
                , 25
                min
            ","Action & Adventure,Comedy,Animation",IMDB: 8.9,One Piece
United States of America,"
                , 2019-11-01
            ","
                , 45
                min
            ","Sci-Fi & Fantasy,Drama",IMDB: 7.6,See
United States of America,"
                , 2022-08-26
            ","
                , 45
                min
            ",Drama,IMDB: 6.8,Partner Track
South Korea,"
                , 2022-06-18
            ","
                , 70
                min
            ","Drama,Action & Adventure",IMDB: 8.7,Alchemy of Souls
United States of America,"
                , 2016-07-15
            ","
                , 50
                min
            ","Drama,Mystery,Sci-Fi & Fantasy",IMDB: 8.7,Stranger Things
United States of America,"
                , 2015-02-08
            ","
                , 45
                min
            ","Comedy,Crime,Drama",IMDB: 8.9,Better Call Saul
United States of America,"
                , 2022-08-05
            ","
                , 45
                min
            ","Sci-Fi & Fantasy,Drama",IMDB: 7.8,The Sandman
United Kingdom,"
                , 2019-09-03
            ","
                , 56
                min
            ","Drama,Crime",IMDB: 7.8,The Capture
United Kingdom,"
                , 2022-08-29
            ","
                , 45
                min
            ","Mystery,Drama",IMDB: N/A,The Suspect
South Africa,"
                , 2022-08-26
            ","
                , 45
                min
            ","Drama,Crime",IMDB: 5,Ludik
United States of America,"
                , 2022-08-14
            ","
                , 45
                min
            ","Action & Adventure,Drama,Sci-Fi & Fantasy",IMDB: 6.2,Tales of the Walking Dead
United States of America,"
                , 2008-01-20
            ","
                , 45
                min
            ",Drama,IMDB: 9.5,Breaking Bad
United States of America,"
                , 2022-08-24
            ","
                , 45
                min
            ","Family,Animation,Drama",IMDB: 7.9,Lost Ollie
United States of America,"
                , 2019-07-25
            ","
                , 60
                min
            ","Sci-Fi & Fantasy,Action & Adventure",IMDB: 8.7,The Boys
United States of America,"
                , 2016-10-02
            ","
                , 60
                min
            ","Western,Science Fiction",IMDB: 8.5,Westworld
Japan,"
                , 2015-07-07
            ","
                , 25
                min
            ","Adventure,Animation,Fantasy",IMDB: 7.7,Overlord
United Kingdom,"
                , 2022-07-15
            ","
                , 95
                min
            ","Family,Drama,Adventure",IMDB: 5.5,The Railway Children Return
Ireland,"
                , 2022-07-29
            ","
                , 94
                min
            ","Comedy,Crime,Drama",IMDB: 5.9,Joyride
United States of America,"
                , 2022-08-25
            ","
                , 45
                min
            ",Drama,IMDB: 6.5,Mike
United States of America,"
                , 2010-10-31
            ","
                , 42
                min
            ","Action & Adventure,Drama,Sci-Fi & Fantasy",IMDB: 8.1,The Walking Dead
United States of America,"
                , 2022-08-21
            ","
                , 84
                min
            ","Romance,TV Movie,Comedy",IMDB: 6.7,Groundswell
Japan,"
                , 2013-04-07
            ","
                , 25
                min
            ","Animation,Action & Adventure,Sci-Fi & Fantasy,Drama,War & Politics,Mystery",IMDB: 9,Attack on Titan
Australia,"
                , 2022-08-19
            ","
                , 45
                min
            ","Mystery,Drama",IMDB: 5.8,Echoes
Denmark,"
                , 2022-08-26
            ","
                , 105
                min
            ","Crime,Thriller,Drama",IMDB: 6.4,Loving Adults
"Canada,United States of America","
                , 2022-08-27
            ","
                , 84
                min
            ","Comedy,TV Movie,Romance",IMDB: 5.9,"Game, Set, Love"
United States of America,"
                , 2022-08-26
            ","
                , 105
                min
            ","Romance,Thriller",IMDB: 3.9,Out of the Blue
United States of America,"
                , 2022-08-26
            ","
                , 99
                min
            ","Science Fiction,Drama,Action,Fantasy",IMDB: 5.9,Samaritan
United States of America,"
                , 2022-08-26
            ","
                , 101
                min
            ",Comedy,IMDB: 5,Me Time
United States of America,"
                , 2022-08-08
            ","
                , 87
                min
            ",Comedy,IMDB: 6.5,Funny Pages
United States of America,"
                , 2022-06-11
            ","
                , 90
                min
            ","Documentary,Music",IMDB: 5.6,Untrapped: The Story of Lil Baby
United States of America,"
                , 2022-08-26
            ","
                , 92
                min
            ",Drama,IMDB: 5.5,Adopting Audrey
United States of America,"
                , 2022-08-26
            ","
                , 86
                min
            ","Thriller,Horror",IMDB: 3,Maneater
United States of America,"
                , 2022-07-27
            ","
                , 106
                min
            ","Animation,Action,Family,Science Fiction,Comedy",IMDB: 7.6,DC League of Super-Pets
United States of America,"
                , 2022-07-29
            ","
                , 83
                min
            ","Horror,Action",IMDB: 4,Dead Zone
Canada,"
                , 2022-07-29
            ","
                , 85
                min
            ","TV Movie,Comedy,Romance,Family",IMDB: 6.6,Sweet as Pie
United States of America,"
                , 2022-08-25
            ","
                , 96
                min
            ","Comedy,Romance",IMDB: 5.2,That's Amor
United States of America,"
                , 2022-08-12
            ","
                , 88
                min
            ","Science Fiction,Thriller,Horror,Action",IMDB: 2.9,Shark Side of the Moon
United States of America,"
                , 2022-07-20
            ","
                , 131
                min
            ","Science Fiction,Horror,Mystery,Thriller",IMDB: 7.1,Nope
Canada,"
                , 2022-08-21
            ","
                , 85
                min
            ","TV Movie,Thriller",IMDB: 6.2,Big Lies In A Small Town
United States of America,"
                , 2022-08-05
            ","
                , 96
                min
            ",Comedy,IMDB: 5.3,Easter Sunday
United States of America,"
                , 2022-08-30
            ","
                , 22
                min
            ","Drama,Crime",IMDB: N/A,The Patient
United States of America,"
                , 2021-11-21
            ","
                , 92
                min
            ","Drama,Mystery,Thriller",IMDB: 4.3,Alternate Ground
"Canada,United States of America","
                , 2022-08-20
            ","
                , 84
                min
            ","TV Movie,Comedy,Romance",IMDB: 7,Dating the Delaneys
United States of America,"
                , 2021-06-20
            ","
                , 45
                min
            ","Drama,Comedy",IMDB: 6.9,KEVIN CAN F**K HIMSELF
United States of America,"
                , 2019-05-03
            ","
                , 25
                min
            ","Comedy,Animation",IMDB: 7.3,Tuca & Bertie
United States of America,"
                , 2022-05-13
            ","
                , 90
                min
            ",Drama,IMDB: 3.9,One More Dream
United States of America,"
                , 2013-03-24
            ","
                , 43
                min
            ",Reality,IMDB: 5.4,Married to Medicine
United States of America,"
                , 2022-04-01
            ","
                , 90
                min
            ","Thriller,Horror,Action",IMDB: 4.1,Hunting Ava Bravo
United States of America,"
                , 2022-07-04
            ","
                , 45
                min
            ",Reality,IMDB: N/A,Street Outlaws: End Game
United States of America,"
                , 2020-11-09
            ","
                , 60
                min
            ",Drama,IMDB: 6.9,Industry
United States of America,"
                , 2016-08-14
            ","
                , 45
                min
            ","Family,Drama",IMDB: 7.5,Chesapeake Shores
United States of America,"
                , 2019-01-15
            ","
                , 45
                min
            ","Sci-Fi & Fantasy,Drama",IMDB: 6.2,"Roswell, New Mexico"
United States of America,"
                , 2016-05-03
            ","
                , 60
                min
            ",Reality,IMDB: 7.4,Below Deck Mediterranean
United Kingdom,"
                , 2022-07-17
            ","
                , 45
                min
            ","Action & Adventure,Drama,Documentary",IMDB: 6.8,Colosseum
United States of America,"
                , 2019-07-22
            ","
                , 43
                min
            ",Reality,IMDB: 3.2,The Family Chantel
United Kingdom,"
                , 2019-09-03
            ","
                , 56
                min
            ","Drama,Crime",IMDB: 7.8,The Capture
United States of America,"
                , 2019-04-04
            ","
                , 45
                min
            ","Drama,Comedy,Crime",IMDB: 7.5,In the Dark
United States of America,"
                , 2019-07-09
            ","
                , 43
                min
            ",Reality,IMDB: 4.8,Love Island
United States of America,"
                , 2019-03-22
            ","
                , 32
                min
            ",Reality,IMDB: 6.4,Selling Sunset
United States of America,"
                , 2019-03-30
            ","
                , 11
                min
            ","Animation,Action & Adventure,Comedy,Mystery",IMDB: 6.1,Victor and Valentino
United States of America,"
                , 2019-01-08
            ","
                , 42
                min
            ",Drama,IMDB: 7.4,Good Trouble
