Name,Release_Date,Genre,Cast,Duration,Country,IMDB
The Greek Tycoon,5/12/1978,Drama,"JacquelineBisset,AnthonyQuinn,EdwardAlbert,JamesFranciscus,RafVallone",107,UnitedStatesofAmerica,5.4
Shallow Grave,1/1/1987,"Horror,Drama","TonyMarch,LisaStahl,JustKelly,CarolCadby,TomLaw",90,UnitedStatesofAmerica,5.5
Pop Gear,5/19/1965,Music,"ToniBaker,SusanMaughan,DonBaskin,EricBurdon,JohnAllen",68,UnitedKingdom,6.3
A Woman's Hole,6/28/2014,"Comedy,Mystery,Romance","NaohoIchihashi,ToshiyukiFuse,KeitoAoki,YumiIshikawa,ToshiyaSakai",101,Japan,4.5
Never Die Young,9/24/2014,"Drama,Documentary","LaurenceCôte,RobinsonStévenin,LudovicMendesDias,AntoineAndret,RaphaëlFaramelli",66,Luxembourg,6.7
Le Grand Pardon,1/27/1982,"Crime,Comedy,Drama","Jean-LouisTrintignant,RogerHanin,RichardBerry,BernardGiraudeau,RobertHossein",130,France,5.8
Fly Me to Polaris,8/21/1999,"Drama,Fantasy,Romance","CeciliaCheung,EricTsang,RichieRen,WilliamSo,IsabelChan",96,HongKong,7.2
Fighting For The Motherland 1162,1/2/2020,"History,Action","TseMiu,JasonZheng,FuJun,NanSheng,GaoMingyang",110,China,5.9
Eternal Summer,10/13/2006,"Drama,Romance","RayChang,ZhangXiao-quan,KateYeung,",96,Taiwan,7
Esprit D'amour,12/15/1983,Horror,"BillyLau,BillTung,AlanTam,CeciliaYip,LungTin-Sang",98,HongKong,6.6
Come What May,11/4/2015,"War,Drama","OlivierGourmet,GoloEuler,AugustDiehl,ThomasSchmauser,AliceIsaaz",114,France,6.7
Caught in Time,11/27/2020,"Action,Crime,Drama","WangQian-Yuan,JessieLi,MichelleWai,DanielWu,LiXiaochuan",95,"China,HongKong",6
Before Tonight Is Over,3/25/1966,Drama,"JitkaZelenohorská,StanoDančiak,ValentinaThielová,MariánLabuda,EduardPavlíček",86,Czechoslovakia,7.4
Battle of Dunkirk: From Disaster to Triumph,3/6/2018,"Documentary,War","ElizabethBarry,BertCoot,JohnDelaney,HarryGarrett,",72,UnitedKingdom,7.4
Dave Chappelle: What's in a Name?,7/7/2022,Comedy,"DaveChappelle,",40,UnitedStatesofAmerica,7.1
Daiki Tsuneta: Tokyo Chaotic,12/31/2021,"Documentary,Music","DaikiTsuneta,",89,Japan,7.5
Under the Amalfi Sun,7/13/2022,"Romance,Drama,Comedy","LudovicaMartino,IsabellaFerrari,LucaWard,LorenzoZurzolo,DavideCalgaro",90,Italy,5.3
Carpoolers,9/10/2021,Comedy,"AnaPolvorosa,SalvaReina,PolMonen,AndreaDuro,MaraGuil",87,Spain,5.9
Young Picasso - Exhibition on Screen,2/5/2019,Documentary,"PabloPicasso,",91,"UnitedKingdom,France,Spain",7.4
WWE: Twist of Fate - The Jeff Hardy Story,4/29/2008,Action,"JeffreyNeroHardy,MattHardy,",43,UnitedStatesofAmerica,7
Tiger Claws III: The Final Conflict,1/25/2000,"Action,Crime","LorenAvedon,JalalMerhi,NicholasCelozzi,CynthiaRothrock,RussellPeters",95,Canada,4
